date	export	import
1-Apr-82	27	20
1-Apr-83	28	20
1-Apr-84	31	29
1-Apr-85	31	25
1-Apr-86	39	23
1-Apr-87	41	25
1-Apr-88	51	36
1-Apr-89	62	39
1-Apr-90	81	44
1-Apr-91	95	41
1-Apr-92	126	94
1-Apr-93	146	120
1-Apr-94	202	163
1-Apr-95	244	252
1-Apr-96	280	226
1-Apr-97	342	280
1-Apr-98	251	268
1-Apr-99	294	317
1-Apr-00	350	362
1-Apr-01	392	393
1-Apr-02	462	465
1-Apr-03	513	553
1-Apr-04	725	727
1-Apr-05	843	840
1-Apr-06	1030	1008
1-Apr-07	1353	1301
1-Apr-08	1633	1589
1-Apr-09	1436	1589
1-Apr-10	1783	1934
1-Apr-11	2010	2478
1-Apr-12	2016	2813
1-Apr-13	2070	3306
1-Apr-14	2191	4329
1-Apr-15	2186	4355
1-Apr-16	2095	4521
1-Apr-17	2281	4676
1-Apr-18	2715	5250
1-Apr-19	2836	5014
1-Apr-20	2806	3811
1-Apr-21	3942	4270
1-Apr-22	4241	4650
